Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,205338159,2634.3844478642723,4418743,56.69023183513158,662383,4333094,55.591398599877344,66749,0.8563558199160264,10210,
United States of America,Americas,36099344,10906.06,852258,257.48,141652,614267,185.58,4087,1.23,620
India,South-East Asia,32117826,2327.37,261069,18.92,40120,430254,31.18,3500,0.25,585
Brazil,Americas,20245085,9524.44,218552,102.82,32443,565748,266.16,6141,2.89,975
Russian Federation,Europe,6557068,4493.16,154504,105.87,22277,168864,115.71,5563,3.81,815
France,Europe,6244939,9601.78,152029,233.75,28339,111354,171.21,354,0.54,76
The United Kingdom,Europe,6179510,9102.77,196925,290.08,32706,130701,192.53,615,0.91,94
Turkey,Europe,6018485,7136.06,171701,203.58,22261,52703,62.49,828,0.98,138
Argentina,Americas,5052884,11179.99,77268,170.96,11397,108388,239.82,1641,3.63,223
Colombia,Americas,4852323,9536.26,37260,73.23,5368,122953,241.64,1258,2.47,185
Spain,Europe,4677883,9883,93170,196.84,8096,82407,174.1,311,0.66,21
Italy,Europe,4420429,7411.67,43241,72.5,7267,128334,215.18,171,0.29,30
Iran (Islamic Republic of),Eastern Mediterranean,4320266,5143.61,262508,312.54,39049,96215,114.55,3587,4.27,568
Germany,Europe,3810641,4581.93,26208,31.51,5578,91853,110.44,99,0.12,19
Indonesia,South-East Asia,3804943,1391.08,197080,72.05,30788,115096,42.08,11086,4.05,1432
Mexico,Americas,3020596,2342.77,119502,92.69,22711,246203,190.95,3656,2.84,727
Poland,Europe,2884974,7600.41,1178,3.1,194,75297,198.37,16,0.04,6
South Africa,Africa,2568511,4330.75,70856,119.47,14271,76247,128.56,2374,4,473
Ukraine,Europe,2263864,5176.47,6386,14.6,1263,53217,121.68,152,0.35,44
Peru,Americas,2128516,6455.55,9448,28.65,1482,197146,597.92,473,1.43,44
Netherlands,Europe,1894667,10884.15,16595,95.33,2614,17894,102.79,44,0.25,7
Iraq,Eastern Mediterranean,1751176,4353.72,66221,164.64,10243,19466,48.4,466,1.16,64
Philippines,Western Pacific,1700363,1551.69,72641,66.29,12439,29539,26.96,1112,1.01,165
Czechia,Europe,1675868,15671.19,1285,12.02,193,30372,284.01,5,0.05,0
Chile,Americas,1626594,8508.98,6205,32.46,1138,36243,189.59,437,2.29,86
Canada,Americas,1445305,3829.42,10567,28,1872,26688,70.71,70,0.19,5
Bangladesh,South-East Asia,1405333,853.32,70073,42.55,8465,23810,14.46,1660,1.01,197
Malaysia,Western Pacific,1342215,4146.99,138509,427.95,21668,11691,36.12,1672,5.17,318
Belgium,Europe,1147855,9961.91,10188,88.42,2,25285,219.44,18,0.16,1
Sweden,Europe,1109112,10739.31,5390,52.19,1056,14658,141.93,1,0.01,0
Japan,Western Pacific,1087779,860.06,102088,80.72,18225,15358,12.14,118,0.09,28
Romania,Europe,1086492,5621.09,2036,10.53,383,34337,177.65,32,0.17,3
Pakistan,Eastern Mediterranean,1085294,491.32,31634,14.32,4934,24187,10.95,552,0.25,102
Portugal,Europe,995949,9673.25,15962,155.03,2708,17525,170.21,103,1,11
Israel,Europe,927016,10710.09,32068,370.49,1431,6611,76.38,76,0.88,3
Thailand,South-East Asia,863189,1236.66,148505,212.76,23418,7126,10.21,1272,1.82,184
Hungary,Europe,810316,8294.32,461,4.72,104,30038,307.47,5,0.05,1
Jordan,Eastern Mediterranean,779530,7640.1,4279,41.94,0,10158,99.56,58,0.57,0
Kazakhstan,Europe,737220,3926.25,47818,254.67,0,10791,57.47,882,4.7,0
Switzerland,Europe,730043,8435.3,8878,102.58,6,10364,119.75,6,0.07,0
Serbia,Europe,729150,10526.65,5053,72.95,983,7152,103.25,20,0.29,1
Nepal,South-East Asia,728532,2500.38,18023,61.86,2763,10239,35.14,220,0.76,27
Morocco,Eastern Mediterranean,720256,1951.35,54931,148.82,0,10607,28.74,520,1.41,0
United Arab Emirates,Eastern Mediterranean,698166,7059.03,9677,97.84,1260,1992,20.14,25,0.25,4
Austria,Europe,661448,7431.11,4513,50.7,879,10554,118.57,9,0.1,2
Tunisia,Eastern Mediterranean,618124,5230.09,15367,130.02,1360,21310,180.31,760,6.43,90
Lebanon,Eastern Mediterranean,576550,8447.07,9506,139.27,0,7958,116.59,32,0.47,0
Saudi Arabia,Eastern Mediterranean,536693,1541.61,5712,16.41,766,8378,24.07,81,0.23,12
Greece,Europe,528474,4930.45,21802,203.4,3603,13158,122.76,132,1.23,20
Ecuador,Americas,493148,2795.14,2612,14.8,0,31837,180.45,83,0.47,450
Cuba,Americas,491904,4342.9,60891,537.59,8194,3757,33.17,573,5.06,73
Bolivia (Plurinational State of),Americas,480229,4114.01,4132,35.4,770,18109,155.14,199,1.7,27
Georgia,Europe,471685,11824.12,31332,785.43,5359,6321,158.45,305,7.65,42
Belarus,Europe,457422,4840.79,6977,73.84,1175,3572,37.8,69,0.73,10
Paraguay,Americas,456064,6394.13,2270,31.83,384,15363,215.39,191,2.68,22
Panama,Americas,444695,10306.35,5914,137.06,977,6924,160.47,64,1.48,6
Bulgaria,Europe,431292,6204.32,4360,62.72,882,18321,263.56,78,1.12,15
Costa Rica,Americas,424472,8332.59,11554,226.81,2128,5185,101.78,98,1.92,16
Kuwait,Eastern Mediterranean,404887,9480.86,3190,74.7,0,2378,55.68,22,0.52,0
Guatemala,Americas,403348,2251.38,21834,121.87,4358,10960,61.18,382,2.13,62
Slovakia,Europe,393361,7207.22,398,7.29,59,12544,229.83,3,0.05,0
Uruguay,Americas,382873,11021.96,879,25.3,152,5991,172.47,12,0.35,1
Croatia,Europe,366357,9027.65,1758,43.32,308,8280,204.03,10,0.25,2
Azerbaijan,Europe,359732,3547.94,11658,114.98,2674,5109,50.39,66,0.65,14
Myanmar,South-East Asia,348186,639.93,25348,46.59,3456,12879,23.67,1617,2.97,212
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,347748,6816.7,1341,26.29,0,3886,76.17,9,0.18,0
Dominican Republic,Americas,345325,3183.33,1813,16.71,207,3976,36.65,3,0.03,1
Sri Lanka,South-East Asia,345118,1611.7,20895,97.58,0,5563,25.98,701,3.27,0
Denmark,Europe,327972,5632.58,6818,117.09,1085,2555,43.88,3,0.05,1
Ireland,Europe,318937,6424.43,11918,240.07,1733,5059,101.9,15,0.3,0
Venezuela (Bolivarian Republic of),Americas,315498,1109.5,6280,22.08,1018,3748,13.18,99,0.35,15
Honduras,Americas,312192,3151.99,8805,88.9,1582,8310,83.9,296,2.99,40
Oman,Eastern Mediterranean,299642,5867.71,1622,31.76,224,3974,77.82,68,1.33,6
Lithuania,Europe,288747,10334.21,3538,126.62,574,4440,158.91,16,0.57,2
Ethiopia,Africa,287184,249.8,4686,4.08,898,4452,3.87,46,0.04,2
Egypt,Eastern Mediterranean,284966,278.47,443,0.43,0,16597,16.22,40,0.04,0
Libya,Eastern Mediterranean,276739,4027.47,13791,200.7,2286,3835,55.81,172,2.5,24
Bahrain,Eastern Mediterranean,270451,15894.16,714,41.96,0,1384,81.34,0,0,0
Republic of Moldova,Europe,261524,6483.05,1341,33.24,268,6298,156.12,28,0.69,3
Slovenia,Europe,260868,12446.82,1101,52.53,248,4764,227.31,1,0.05,0
Viet Nam,Western Pacific,246568,253.31,57502,59.07,5025,4813,4.94,2093,2.15,326
Armenia,Europe,233797,7889.93,2172,73.3,397,4678,157.87,42,1.42,9
Qatar,Eastern Mediterranean,228543,7932.62,1488,51.65,197,601,20.86,0,0,0
Republic of Korea,Western Pacific,220182,429.46,12777,24.92,1990,2144,4.18,31,0.06,6
Kenya,Africa,217276,404.07,9014,16.76,1546,4273,7.95,216,0.4,32
Bosnia and Herzegovina,Europe,206835,6304.38,804,24.51,180,9698,295.6,9,0.27,4
Zambia,Africa,201770,1097.53,3315,18.03,428,3512,19.1,65,0.35,3
Algeria,Africa,185042,421.98,7029,16.03,851,4695,10.71,254,0.58,41
Nigeria,Africa,180661,87.64,4084,1.98,753,2200,1.07,22,0.01,5
Mongolia,Western Pacific,178436,5442.96,7339,223.87,0,869,26.51,33,1.01,0
Kyrgyzstan,Europe,171238,2624.66,3504,53.71,468,2433,37.29,53,0.81,7
North Macedonia,Europe,159908,7675.41,2982,143.13,639,5527,265.29,26,1.25,6
Puerto Rico,Americas,154566,5402.79,5209,182.08,1161,2643,92.39,49,1.71,17
Afghanistan,Eastern Mediterranean,151770,389.87,1960,5.03,207,7000,17.98,121,0.31,12
Norway,Europe,142585,2656.41,2806,52.28,589,807,15.03,3,0.06,0
Uzbekistan,Europe,141158,421.75,6332,18.92,948,964,2.88,48,0.14,8
Latvia,Europe,139814,7329.03,610,31.98,107,2561,134.25,3,0.16,0
Mozambique,Africa,136566,436.94,7530,24.09,1038,1671,5.35,133,0.43,16
Estonia,Europe,136500,10271.07,1780,133.94,272,1279,96.24,3,0.23,0
Albania,Europe,134761,4682.78,1319,45.83,274,2460,85.48,3,0.1,0
Botswana,Africa,130771,5560.87,8197,348.57,0,1832,77.9,128,5.44,0
China,Western Pacific,122168,8.3,852,0.06,110,5665,0.39,26,0,1
Namibia,Africa,121817,4794.24,1596,62.81,214,3244,127.67,102,4.01,18
Zimbabwe,Africa,118754,798.99,4265,28.7,800,4047,27.23,293,1.97,56
Finland,Europe,116231,2103.62,4716,85.35,926,997,18.04,1,0.02,0
Kosovo[1],Europe,112610,6271.21,3614,201.26,1009,2266,126.19,6,0.33,2
Ghana,Africa,109428,352.16,2994,9.64,406,899,2.89,45,0.14,7
Cyprus,Europe,107887,12149.37,3418,384.91,402,454,51.13,21,2.36,2
Montenegro,Europe,105002,16718.41,2121,337.71,387,1640,261.12,7,1.11,3
Uganda,Africa,96224,210.37,1320,2.89,157,2832,6.19,80,0.17,11
El Salvador,Americas,90129,1389.55,2631,40.56,303,2759,42.54,78,1.2,10
Cambodia,Western Pacific,83839,501.46,3614,21.62,455,1634,9.77,127,0.76,20
Cameroon,Africa,82454,310.61,390,1.47,0,1338,5.04,4,0.02,0
Maldives,South-East Asia,78815,14580.68,685,126.72,0,222,41.07,0,0,0
Rwanda,Africa,78313,604.63,3949,30.49,449,930,7.18,70,0.54,10
Luxembourg,Europe,74545,11906.09,333,53.19,47,827,132.09,3,0.48,0
Senegal,Africa,69576,415.53,4243,25.34,656,1554,9.28,113,0.67,9
Singapore,Western Pacific,66012,1128.34,504,8.61,59,43,0.73,3,0.05,1
Malawi,Africa,57273,299.39,2558,13.37,321,1919,10.03,171,0.89,24
Jamaica,Americas,56165,1896.72,2326,78.55,375,1268,42.82,57,1.92,14
Democratic Republic of the Congo,Africa,52432,58.54,1384,1.55,0,1050,1.17,5,0.01,0
Côte d’Ivoire,Africa,51926,196.85,1033,3.92,194,354,1.34,16,0.06,7
Angola,Africa,44174,134.41,905,2.75,176,1070,3.26,38,0.12,7
Réunion,Africa,43835,4896.06,3590,400.98,0,298,33.28,10,1.12,0
Madagascar,Africa,42795,154.54,42,0.15,4,950,3.43,3,0.01,1
Trinidad and Tobago,Americas,40889,2921.71,1544,110.33,315,1151,82.24,41,2.93,7
Fiji,Western Pacific,38812,4329.55,3924,437.73,398,345,38.49,62,6.92,5
Australia,Western Pacific,37754,148.06,2375,9.31,382,947,3.71,20,0.08,3
Sudan,Eastern Mediterranean,37543,85.62,29,0.07,11,2780,6.34,0,0,0
Malta,Europe,35192,6839.19,476,92.51,101,429,83.37,5,0.97,0
Eswatini,Africa,34585,2981.04,5188,447.18,1020,905,78.01,78,6.72,9
Cabo Verde,Africa,34235,6157.52,294,52.88,64,298,53.6,0,0,0
French Guiana,Americas,31633,10590.86,877,293.62,194,197,65.96,4,1.34,1
Mauritania,Africa,29307,630.3,2076,44.65,303,627,13.48,44,0.95,7
Martinique,Americas,27883,7430.22,2632,701.37,0,184,49.03,23,6.13,0
Guinea,Africa,27507,209.45,1030,7.84,196,271,2.06,28,0.21,5
French Polynesia,Western Pacific,27036,9624.5,5231,1862.18,1117,184,65.5,29,10.32,3
Guadeloupe,Americas,26771,6690.68,5646,1411.06,0,291,72.73,8,2,0
Suriname,Americas,26222,4469.92,608,103.64,119,671,114.38,14,2.39,2
Syrian Arab Republic,Eastern Mediterranean,26165,149.51,106,0.61,0,1927,11.01,8,0.05,0
Gabon,Africa,25529,1146.99,89,4,0,165,7.41,0,0,0
Guyana,Americas,23156,2943.99,451,57.34,81,567,72.09,16,2.03,3
Haiti,Americas,20507,179.85,144,1.26,0,576,5.05,7,0.06,0
