Location,Latitude,Longitude,Comb
Sim Lim Square (1 Rochor Canal Road),1.3030433,103.8529208,"1.3030433,103.8529208"
People'S Park Centre (101 Upper Cross Street),1.285631,103.8440929,"1.285631,103.8440929"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
People’S Park Centre (101 Upper Cross Street),1.285631,103.8440929,"1.285631,103.8440929"
Healthy Path Spa (84 Bedok North Street 4),1.3113881,103.8597659,"1.3113881,103.8597659"
Ikea Tampines (60 Tampines North Drive 2),1.374177,103.9322926,"1.374177,103.9322926"
Healthy Path Spa (84 Bedok North Street 4),1.3113881,103.8597659,"1.3113881,103.8597659"
Ntuc Fairprice (166 Bukit Merah Central),1.28317,103.8177388,"1.28317,103.8177388"
Tiong Bahru Plaza (298 Tiong Bahru Road),1.2864244,103.827346,"1.2864244,103.827346"
Market Square @ Downtown East (1 Pasir Ris Close),1.3770753,103.9548667,"1.3770753,103.9548667"
Tiong Bahru Plaza (298 Tiong Bahru Road),1.2864244,103.827346,"1.2864244,103.827346"
Hairpost Beauty Salon (162 Bukit Merah Central),1.2839781,103.8171171,"1.2839781,103.8171171"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
Geylang Bahru Market And Food Centre (69 Geylang  Bahru),1.32144,103.870173,"1.32144,103.870173"
Tiong Bahru Plaza (298 Tiong Bahru Road),1.2864244,103.827346,"1.2864244,103.827346"
Redhill Market (79 Redhill Lane),1.2878415,103.8182751,"1.2878415,103.8182751"
*Scape (2 Orchard Link),1.3009732,103.8357464,"1.3009732,103.8357464"
Joo Chiat Complex (1 Joo Chiat Road),1.3156995,103.8989007,"1.3156995,103.8989007"
Public Free Clinic Society (245 Tampines Street 21),1.3534025,103.9468752,"1.3534025,103.9468752"
Palelai Buddhist Temple (49 Bedok Walk),1.331296065,103.9464466,"1.3312960648603174, 103.94644660727438"
112 Jalan Bukit Merah Market And Food Centre,1.2800586,103.8259831,"1.2800586,103.8259831"
Dawson Place (57 Dawson Road),1.2926472,103.8107529,"1.2926472,103.8107529"
Waterway Point (83 Punggol Central),1.40669,103.9021738,"1.40669,103.9021738"
Sheng Siong Supermarket (108 Mcnair Road),1.321577,103.8595811,"1.321577,103.8595811"
Ntuc Fairprice (166 Bukit Merah Central),1.28317,103.8177388,"1.28317,103.8177388"
Tiong Bahru Yong Tau Hu (56 Eng Hoon Street),1.2839108,103.8341072,"1.2839108,103.8341072"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
City Square Mall (180 Kitchener Road),1.3114516,103.8561608,"1.3114516,103.8561608"
Courts Megastore (50 Tampines North Drive 2),1.3734101,103.9334918,"1.3734101,103.9334918"
Redhill Market (79 Redhill Lane),1.2878415,103.8182751,"1.2878415,103.8182751"
Teoh Hock Seng (129 Kim Tian Road),1.2812393,103.8288264,"1.2812393,103.8288264"
Eastpoint Mall (3 Simei Street 6),1.3427145,103.9530415,"1.3427145,103.9530415"
Bake King (10 Haig Road),1.3150137,103.8959733,"1.3150137,103.8959733"
Ikea Tampines (60 Tampines North Drive 2),1.374177,103.9322926,"1.374177,103.9322926"
Tiong Bahru Yong Tau Hu (56 Eng Hoon Street),1.2839108,103.8341072,"1.2839108,103.8341072"
Jurong Point (1 Jurong West Central 2),1.3397443,103.7067297,"1.3397443,103.7067297"
The Clementi Mall (3155 Commonwealth Avenue West),1.314918,103.7643089,"1.314918,103.7643089"
Vivocity (1 Harbourfront Walk),1.264585545,103.8223037,"1.2645855448709473, 103.82230365697876"
Katong V Mall (30 East Coast Road),1.3036199,103.9029701,"1.3036199,103.9029701"
Vivocity (1 Harbourfront Walk),1.264585545,103.8223037,"1.2645855448709473, 103.82230365697876"
Giant Express (86 Redhill Close),1.2869565,103.818504,"1.2869565,103.818504"
Katong V Mall (30 East Coast Road),1.3036199,103.9029701,"1.3036199,103.9029701"
Joo Chiat Complex (1 Joo Chiat Road),1.3156995,103.8989007,"1.3156995,103.8989007"
Junction 10 (1 Woodlands Road),1.3803079,103.7601697,"1.3803079,103.7601697"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Ntuc Fairprice (50 Havelock Road),1.2898284,103.8267171,"1.2898284,103.8267171"
Vivocity (1 Harbourfront Walk),1.264585545,103.8223037,"1.2645855448709473, 103.82230365697876"
Tiong Bahru Yong Tau Hu (56 Eng Hoon Street),1.2839108,103.8341072,"1.2839108,103.8341072"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
Thomson Plaza (301 Upper Thomson Road),1.3548,103.8308,"1.3548,103.8308"
Tiong Bahru Yong Tau Hu (56 Eng Hoon Street),1.2839108,103.8341072,"1.2839108,103.8341072"
Ntuc Fairprice (166 Bukit Merah Central),1.28317,103.8177388,"1.28317,103.8177388"
Ntuc Fairprice (166 Bukit Merah Central),1.28317,103.8177388,"1.28317,103.8177388"
Night Safari (80 Mandai Lake Road),1.4021872,103.7880606,"1.4021872,103.7880606"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Junction 8 (9 Bishan Place),1.3506808,103.8487631,"1.3506808,103.8487631"
Tiong Bahru Yong Tau Hu (56 Eng Hoon Street),1.2839108,103.8341072,"1.2839108,103.8341072"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Greet Effect Aquarium (801 French Road),1.307437,103.860453,"1.307437,103.860453"
Harvest Care Centre (165 Sims Avenue),1.3146408,103.8790937,"1.3146408,103.8790937"
Sheng Shiong Supermarket (88 Tanglin Halt Road),1.3013906,103.7985861,"1.3013906,103.7985861"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
Telok Blangah Food Centre (79 Telok Blangah Drive),1.2734238,103.807639,"1.2734238,103.807639"
Vivocity (1 Habourfront Walk),1.2644032,103.8222071,"1.2644032,103.8222071"
Tiong Bahru Yong Tau Hu (56 Eng Hoon Street),1.2839108,103.8341072,"1.2839108,103.8341072"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Vivocity (1 Habourfront Walk),1.2644032,103.8222071,"1.2644032,103.8222071"
115 Bukit Merah View Market & Hawker Centre (115 Bukit  Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Kim San Leng Coffee Shop (116 Bukit Merah View),1.2844777,103.8210889,"1.2844777,103.8210889"
Tiong Bahru Yong Tau Hu (56 Eng Hoon Street),1.2839108,103.8341072,"1.2839108,103.8341072"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Ntuc Fairprice (166 Bukit Merah Central),1.28317,103.8177388,"1.28317,103.8177388"
Chinatown Complex (335 Smith Street),1.2825863,103.8430923,"1.2825863,103.8430923"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
Tiong Bahru Yong Tau Hu (56 Eng Hoon Street),1.2839108,103.8341072,"1.2839108,103.8341072"
Chinatown Complex (335 Smith Street),1.2825863,103.8430923,"1.2825863,103.8430923"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Northpoint City (930 Yishun Avenue 2),1.4293478,103.8358671,"1.4293478,103.8358671"
Katong V Mall (30 East Coast Road),1.3036199,103.9029701,"1.3036199,103.9029701"
The Clementi Mall (3155 Commonwealth Avenue West),1.314918,103.7643089,"1.314918,103.7643089"
Ntuc Fairprice (166 Bukit Merah Central),1.28317,103.8177388,"1.28317,103.8177388"
Artra (12 Alexandra View),1.2901234,103.817164,"1.2901234,103.817164"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Hing Show Nails (82 Marine Parade Central),1.3024507,103.9067887,"1.3024507,103.9067887"
"Ion Orchard (2 Orchard Turn) 
",1.3039288,103.8319512,"1.3039288,103.8319512"
Telok Blangah Food Centre (79 Telok Blangah Drive),1.2734238,103.807639,"1.2734238,103.807639"
Katong V Mall (30 East Coast Road),1.3036199,103.9029701,"1.3036199,103.9029701"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
"Ion Orchard (2 Orchard Turn) 
",1.3039288,103.8319512,"1.3039288,103.8319512"
Hdb Bukit Merah Branch (166 Bukit Merah Central),1.2831772,103.8175203,"1.2831772,103.8175203"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Fu Lu Shou Complex (149 Rochor Road),1.3017027,103.8544208,"1.3017027,103.8544208"
Ntuc Fairprice (18/20 Kim Tian Road),1.2847984,103.8293522,"1.2847984,103.8293522"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
Telok Blangah Food Centre (79 Telok Blangah Drive),1.2734238,103.807639,"1.2734238,103.807639"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Renee Hair Salon (756 Upper Serangoon Road),1.3535014,103.8787863,"1.3535014,103.8787863"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Katong V Mall (30 East Coast Road),1.3036199,103.9029701,"1.3036199,103.9029701"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Tiong Bahru Plaza (298 Tiong Bahru Road),1.2864244,103.827346,"1.2864244,103.827346"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
Ntuc Health Senior Activity Centre (Silverace) - Henderson (117 Bukit Merah View),1.2844034,103.8218299,"1.2844034,103.8218299"
Tiong Bahru Yong Tau Hu (56 Eng Hoon Street),1.2839108,103.8341072,"1.2839108,103.8341072"
Ion Orchard (2 Orchard Turn),1.3039288,103.8319512,"1.3039288,103.8319512"
Tiong Bahru Plaza (298 Tiong Bahru Road,1.2864244,103.827346,"1.2864244,103.827346"
Tiong Bahru Yong Tau Hu (56 Eng Hoon Street),1.2839108,103.8341072,"1.2839108,103.8341072"
Excelsior Shopping Centre (5 Coleman Street),1.2920491,103.849833,"1.2920491,103.849833"
Tiong Bahru Market And Food Centre (30 Seng Poh Road),1.2850573,103.8328818,"1.2850573,103.8328818"
Posb Tiong Bahru Branch (302 Tiong Bahru Road),1.286331,103.8269186,"1.286331,103.8269186"
Ten Dollars Salon (13 Haig Road),1.3149628,103.8957375,"1.3149628,103.8957375"
Ntuc Fairprice (50 Havelock Road),1.2898284,103.8267171,"1.2898284,103.8267171"
Ion Orchard (2 Orchard Turn),1.3039288,103.8319512,"1.3039288,103.8319512"
Redhill Market (79 Redhill Lane),1.2878415,103.8182751,"1.2878415,103.8182751"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
Tiong Bahru Plaza (298 Tiong Bahru Road,1.2864244,103.827346,"1.2864244,103.827346"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
Ngee Ann City (391A Orchard Road),1.3025572,103.834568,"1.3025572,103.834568"
Tiong Bahru Yong Tau Hu (56 Eng Hoon Street),1.2839108,103.8341072,"1.2839108,103.8341072"
Katong V Mall (30 East Coast Road),1.3036199,103.9029701,"1.3036199,103.9029701"
"Ion Orchard (2 Orchard Turn) 
",1.3039288,103.8319512,"1.3039288,103.8319512"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
Orchard Central (181 Orchard Road),1.3006295,103.8398742,"1.3006295,103.8398742"
Takashimaya (391A Orchard Road),1.3025944,103.8353161,"1.3025944,103.8353161"
Queenstown Community Centre (365 Commonwealth Avenue),1.2988058,103.8015646,"1.2988058,103.8015646"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Shona Thai Foot Massage (8 Telok Blangah Crescent),1.2777323,103.8194002,"1.2777323,103.8194002"
"Ion Orchard (2 Orchard Turn) 
",1.3039288,103.8319512,"1.3039288,103.8319512"
The Centrepoint (176 Orchard Road),1.3015383,103.8401372,"1.3015383,103.8401372"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Causeway Point (1 Woodlands Square),1.4360933,103.7859471,"1.4360933,103.7859471"
115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),1.2854726,103.822269,"1.2854726,103.822269"
Ion Orchard (2 Orchard Turn),1.3039288,103.8319512,"1.3039288,103.8319512"
Ntuc Fairprice (849 Yishun Ring Road),1.416781,103.835361,"1.416781,103.835361"
Katong Shopping Centre (865 Mountbatten Road),1.303903,103.9011732,"1.303903,103.9011732"
Harvest Care Centre (165 Sims Avenue),1.3146408,103.8790937,"1.3146408,103.8790937"
"Ion Orchard (2 Orchard Turn) 
",1.3039288,103.8319512,"1.3039288,103.8319512"
Ion Orchard (2 Orchard Turn),1.3039288,103.8319512,"1.3039288,103.8319512"
"Ion Orchard (2 Orchard Turn) 
",1.3039288,103.8319512,"1.3039288,103.8319512"
Ion Orchard (2 Orchard Turn),1.3039288,103.8319512,"1.3039288,103.8319512"
"Ion Orchard (2 Orchard Turn) 
",1.3039288,103.8319512,"1.3039288,103.8319512"
Peninsula Plaza (111 North Bridge Road),1.2923407,103.8508826,"1.2923407,103.8508826"
Angel Salon (38 Beo Crescent),1.2885429,103.8273705,"1.2885429,103.8273705"
Takashimaya (391A Orchard Road),1.3025944,103.8353161,"1.3025944,103.8353161"
Ion Orchard (2 Orchard Turn),1.3039288,103.8319512,"1.3039288,103.8319512"
Ion Orchard (2 Orchard Turn),1.3039288,103.8319512,"1.3039288,103.8319512"
People'S Park Complex (1 Park Road),1.2841977,103.8425488,"1.2841977,103.8425488"
Oasis Terraces (681 Punggol Drive),1.4023703,103.9132022,"1.4023703,103.9132022"
Mustafa Centre (145 Syed Alwi Road),1.309985,103.8554636,"1.309985,103.8554636"
Velocity@Novena Square (238 Thomson Road),1.3199572,103.8439076,"1.3199572,103.8439076"
Sheng Shiong Supermarket (52 Chin Swee Road),1.286971,103.8417616,"1.286971,103.8417616"
Novena Square 2 (10 Sinaran Drive),1.3208322,103.8441474,"1.3208322,103.8441474"
The Poiz Centre (51 Upper Serangoon Road),1.3312349,103.8681859,"1.3312349,103.8681859"
Sheng Shiong Supermarket (446A Fajar Road),1.3839523,103.7709925,"1.3839523,103.7709925"
Hdb Hub (500 Toa Payoh Lorong 6),1.3323583,103.8479611,"1.3323583,103.8479611"
Seletar Mall (33 Sengkang West Avenue),1.3915208,103.8760834,"1.3915208,103.8760834"
Jic Inspection Services (53 Pioneer Road),1.311326,103.657849,"1.311326,103.657849"
Vicom Inspection Centre (511 Bukit Batok Street 2),1.3414919,103.755716,"1.3414919,103.755716"
Yew Tee Point (21 Choa Chu Kang North 6),1.39716,103.7468352,"1.39716,103.7468352"
"Ion Orchard (2 Orchard Turn) 
",1.3039288,103.8319512,"1.3039288,103.8319512"
Beo Crescent Market (38A Beo Crescent),1.2887207,103.8275188,"1.2887207,103.8275188"
Hair Flare (201B Tampines Street 21),1.353532,103.952869,"1.353532,103.952869"
Seletar Mall (33 Sengkang West Avenue),1.3915208,103.8760834,"1.3915208,103.8760834"
Marina Bay Sands (2 Bayfront Avenue),1.2842759,103.8600338,"1.2842759,103.8600338"
Woodlands Galaxy Community Club (31 Woodlands Avenue 6),1.4390853,103.8026836,"1.4390853,103.8026836"
Marina Bay Sands Casino (10 Bayfront Avenue),1.2814374,103.8589788,"1.2814374,103.8589788"
Ang Mo Supermarket (642 Hougang Avenue 8),1.3716677,103.8801457,"1.3716677,103.8801457"
Choa Chu Kang Columbarium (51 Chinese Cemetery Path 4),1.3742057,103.6868758,"1.3742057,103.6868758"
Bugis Street (3 New Bugis Street),1.3006613,103.8549626,"1.3006613,103.8549626"
Ntuc Foodfare (476D Upper Serangoon View),1.3773773,103.9037958,"1.3773773,103.9037958"
Hougang Green Shopping Mall (21 Hougang Street 51),1.3795596,103.8880715,"1.3795596,103.8880715"
Ntuc Fairprice (37 Teban Gardens Road),1.3204949,103.7427894,"1.3204949,103.7427894"
Ion Orchard (2 Orchard Turn),1.3039288,103.8319512,"1.3039288,103.8319512"
Hong Yang Health Products & Foot Reflexology Centre (38 Beo Crescent),1.2885572,103.8272844,"1.2885572,103.8272844"
Ion Orchard (2 Orchard Turn),1.3039288,103.8319512,"1.3039288,103.8319512"
Prime Supermarket (763 Jurong West Street 75),1.348588,103.6982927,"1.348588,103.6982927"
"Ion Orchard (2 Orchard Turn) 
",1.3039288,103.8319512,"1.3039288,103.8319512"
Thong Sheng Motors Trading (7 Pioneer Road North),1.3247904,103.6951315,"1.3247904,103.6951315"
Marina Bay Sands Casino (10 Bayfront Avenue),1.2814374,103.8589788,"1.2814374,103.8589788"
Ntuc Foodfare (476D Upper Serangoon View),1.3773773,103.9037958,"1.3773773,103.9037958"
Ntuc Foodfare (308 Anchorvale Road),1.389254,103.8864458,"1.389254,103.8864458"
Plaza Singapura (68 Orchard Road),1.3005317,103.8452356,"1.3005317,103.8452356"
Esr Bizpark@Chai Chee (750A Chai Chee Road),1.3233077,103.9216954,"1.3233077,103.9216954"
Vivocity (1 Harbourfront Walk),1.264585545,103.8223037,"1.2645855448709473, 103.82230365697876"
Marina Bay Sands (2 Bayfront Avenue),1.2842759,103.8600338,"1.2842759,103.8600338"
Peninsula Plaza Singapore (111 North Bridge Road),1.2923407,103.8508826,"1.2923407,103.8508826"
Marsiling Lane Food Centre (20 Marsiling Lane),1.4434601,103.7768783,"1.4434601,103.7768783"
"Ion Orchard (2 Orchard Turn) 
",1.3039288,103.8319512,"1.3039288,103.8319512"
Plaza Singapura (68 Orchard Road),1.3005317,103.8452356,"1.3005317,103.8452356"
Yew Tee Point (21 Choa Chu Kang North 6),1.39716,103.7468352,"1.39716,103.7468352"
Chien Chi Tow Healthcare (78 Redhill Lane),1.288461,103.818163,"1.288461,103.818163"
Seletar Mall (33 Sengkang West Avenue),1.3915208,103.8760834,"1.3915208,103.8760834"
Ntuc Foodfare (308 Anchorvale Road),1.389254,103.8864458,"1.389254,103.8864458"
Hougang Green Shopping Mall (21 Hougang Street 51),1.3795596,103.8880715,"1.3795596,103.8880715"
Ntuc Fairprice At Woodlands Civic Centre (900 South Woodlands Drive),1.4349053,103.78678,"1.4349053,103.78678"
Ntuc Foodfare (308 Anchorvale Road),1.389254,103.8864458,"1.389254,103.8864458"
Carole Unisex Salon (620 Hougang Avenue 8),1.3707168,103.8814536,"1.3707168,103.8814536"
Causeway Point (1 Woodlands Square),1.4360933,103.7859471,"1.4360933,103.7859471"
Masjid Jamek Queenstown (946 Margaret Drive),1.2929373,103.8155685,"1.2929373,103.8155685"
Sheng Shiong Supermarket (455 Sengkang West Avenue),1.3920676,103.8712243,"1.3920676,103.8712243"
Atatzcutz Singapore (348 Bedok Road),1.3314727,103.9482591,"1.3314727,103.9482591"
Orchard Hotel Singapore (442 Orchard Road),1.3075,103.8286111,"1.3075,103.8286111"
Fajar Shopping Centre (445 Fajar Road),1.3838672,103.7705214,"1.3838672,103.7705214"
The Seletar Mall (33 Sengkang West Avenue),1.3915208,103.8760834,"1.3915208,103.8760834"
Seletar Mall (33 Sengkang West Avenue),1.3915208,103.8760834,"1.3915208,103.8760834"
Causeway Point (1 Woodlands Square),1.4360933,103.7859471,"1.4360933,103.7859471"
Lucky Plaza (304 Orchard Road),1.3045456,103.8339449,"1.3045456,103.8339449"
Sheng Shiong Supermarket (200 Woodlands Industrial Park E7),1.4508933,103.7968967,"1.4508933,103.7968967"
Bukit Merah Community Centre (4000 Jalan Bukit Merah),1.2849587,103.8156927,"1.2849587,103.8156927"
Atatzcutz Singapore (348 Bedok Road),1.3314727,103.9482591,"1.3314727,103.9482591"
Marina Bay Sands (2 Bayfront Avenue),1.2842759,103.8600338,"1.2842759,103.8600338"
Takashimaya (391A Orchard Road),1.3025944,103.8353161,"1.3025944,103.8353161"
